Вывод для нечетного кол-ва:

Распределение выполнено корректно!




Вывод для четного кол-ва:

Начальное количество монет: 100
Начало дележа...

Том взял монету. У Боба: 0, у Тома: 1, осталось: 99
Боб взял монету. У Боба: 1, у Тома: 1, осталось: 98
Боб взял монету. У Боба: 2, у Тома: 1, осталось: 97
Том взял монету. У Боба: 2, у Тома: 2, осталось: 96
Том взял монету. У Боба: 2, у Тома: 3, осталось: 95
Боб взял монету. У Боба: 3, у Тома: 3, осталось: 94
Боб взял монету. У Боба: 4, у Тома: 3, осталось: 93
Том взял монету. У Боба: 4, у Тома: 4, осталось: 92
Боб взял монету. У Боба: 5, у Тома: 4, осталось: 91
Том взял монету. У Боба: 5, у Тома: 5, осталось: 90
Том взял монету. У Боба: 5, у Тома: 6, осталось: 89
Боб взял монету. У Боба: 6, у Тома: 6, осталось: 88
Боб взял монету. У Боба: 7, у Тома: 6, осталось: 87
Том взял монету. У Боба: 7, у Тома: 7, осталось: 86
Том взял монету. У Боба: 7, у Тома: 8, осталось: 85
Боб взял монету. У Боба: 8, у Тома: 8, осталось: 84
Боб взял монету. У Боба: 9, у Тома: 8, осталось: 83
Том взял монету. У Боба: 9, у Тома: 9, осталось: 82
Том взял монету. У Боба: 9, у Тома: 10, осталось: 81
Боб взял монету. У Боба: 10, у Тома: 10, осталось: 80
Боб взял монету. У Боба: 11, у Тома: 10, осталось: 79
Том взял монету. У Боба: 11, у Тома: 11, осталось: 78
Том взял монету. У Боба: 11, у Тома: 12, осталось: 77
Боб взял монету. У Боба: 12, у Тома: 12, осталось: 76
Том взял монету. У Боба: 12, у Тома: 13, осталось: 75
Боб взял монету. У Боба: 13, у Тома: 13, осталось: 74
Боб взял монету. У Боба: 14, у Тома: 13, осталось: 73
Том взял монету. У Боба: 14, у Тома: 14, осталось: 72
Боб взял монету. У Боба: 15, у Тома: 14, осталось: 71
Том взял монету. У Боба: 15, у Тома: 15, осталось: 70
Боб взял монету. У Боба: 16, у Тома: 15, осталось: 69
Том взял монету. У Боба: 16, у Тома: 16, осталось: 68
Боб взял монету. У Боба: 17, у Тома: 16, осталось: 67
Том взял монету. У Боба: 17, у Тома: 17, осталось: 66
Боб взял монету. У Боба: 18, у Тома: 17, осталось: 65
Том взял монету. У Боба: 18, у Тома: 18, осталось: 64
Боб взял монету. У Боба: 19, у Тома: 18, осталось: 63
Том взял монету. У Боба: 19, у Тома: 19, осталось: 62
Боб взял монету. У Боба: 20, у Тома: 19, осталось: 61
Том взял монету. У Боба: 20, у Тома: 20, осталось: 60
Боб взял монету. У Боба: 21, у Тома: 20, осталось: 59
Том взял монету. У Боба: 21, у Тома: 21, осталось: 58
Том взял монету. У Боба: 21, у Тома: 22, осталось: 57
Боб взял монету. У Боба: 22, у Тома: 22, осталось: 56
Боб взял монету. У Боба: 23, у Тома: 22, осталось: 55
Том взял монету. У Боба: 23, у Тома: 23, осталось: 54
Том взял монету. У Боба: 23, у Тома: 24, осталось: 53
Боб взял монету. У Боба: 24, у Тома: 24, осталось: 52
Боб взял монету. У Боба: 25, у Тома: 24, осталось: 51
Том взял монету. У Боба: 25, у Тома: 25, осталось: 50
Боб взял монету. У Боба: 26, у Тома: 25, осталось: 49
Том взял монету. У Боба: 26, у Тома: 26, осталось: 48
Том взял монету. У Боба: 26, у Тома: 27, осталось: 47
Боб взял монету. У Боба: 27, у Тома: 27, осталось: 46
Боб взял монету. У Боба: 28, у Тома: 27, осталось: 45
Том взял монету. У Боба: 28, у Тома: 28, осталось: 44
Боб взял монету. У Боба: 29, у Тома: 28, осталось: 43
Том взял монету. У Боба: 29, у Тома: 29, осталось: 42
Боб взял монету. У Боба: 30, у Тома: 29, осталось: 41
Том взял монету. У Боба: 30, у Тома: 30, осталось: 40
Том взял монету. У Боба: 30, у Тома: 31, осталось: 39
Боб взял монету. У Боба: 31, у Тома: 31, осталось: 38
Том взял монету. У Боба: 31, у Тома: 32, осталось: 37
Боб взял монету. У Боба: 32, у Тома: 32, осталось: 36
Боб взял монету. У Боба: 33, у Тома: 32, осталось: 35
Том взял монету. У Боба: 33, у Тома: 33, осталось: 34
Том взял монету. У Боба: 33, у Тома: 34, осталось: 33
Боб взял монету. У Боба: 34, у Тома: 34, осталось: 32
Том взял монету. У Боба: 34, у Тома: 35, осталось: 31
Боб взял монету. У Боба: 35, у Тома: 35, осталось: 30
Боб взял монету. У Боба: 36, у Тома: 35, осталось: 29
Том взял монету. У Боба: 36, у Тома: 36, осталось: 28
Боб взял монету. У Боба: 37, у Тома: 36, осталось: 27
Том взял монету. У Боба: 37, у Тома: 37, осталось: 26
Том взял монету. У Боба: 37, у Тома: 38, осталось: 25
Боб взял монету. У Боба: 38, у Тома: 38, осталось: 24
Боб взял монету. У Боба: 39, у Тома: 38, осталось: 23
Том взял монету. У Боба: 39, у Тома: 39, осталось: 22
Том взял монету. У Боба: 39, у Тома: 40, осталось: 21
